Regions,Date,Channel,Product,Sales
Australia,4/4/2024,Distributor,Cloud Service,"9,327.00"
Asia,4/5/2024,OEM,Support,"2,386.00"
North America,4/6/2024,Distributor,OS,"8,757.00"
North America,4/7/2024,Distributor,Cloud Service,"2,147.00"
North America,4/8/2024,Distributor,Support,"8,224.00"
Asia,4/9/2024,Distributor,OS,"7,061.00"
Africa,4/10/2024,Distributor,Support,"4,089.00"
Africa,4/11/2024,Distributor,Certification,"7,082.00"
North America,4/12/2024,Distributor,Cloud Service,"6,064.00"
North America,4/13/2024,Distributor,Certification,"6,883.00"
Asia,4/14/2024,Distributor,OTHERS,"6,056.00"
Africa,4/15/2024,Distributor,Cloud Service,"5,009.00"
Africa,4/16/2024,Distributor,Support,"6,717.00"
Africa,4/17/2024,Distributor,Certification,"4,308.00"
Africa,4/18/2024,Distributor,MIS,"4,803.00"
Africa,4/19/2024,Distributor,ERP,"1,699.00"
Africa,4/20/2024,Distributor,OTHERS,"9,193.00"
Africa,4/21/2024,Distributor,OS,"7,195.00"
Africa,4/22/2024,Distributor,Cloud Service,"1,695.00"
Africa,4/23/2024,Distributor,Support,"8,036.00"
Asia,4/24/2024,Distributor,Cloud Service,"6,643.00"
Asia,4/25/2024,Distributor,Support,"9,468.00"
Asia,4/26/2024,Distributor,Support,"9,685.00"
North America,4/27/2024,Direct,ERP,"9,146.00"
Asia,4/28/2024,Distributor,Certification,"9,839.00"
Europe,4/29/2024,Distributor,Cloud Service,"1,939.00"
Europe,4/30/2024,Distributor,Support,"4,667.00"
Europe,5/1/2024,Distributor,Certification,"8,321.00"
Europe,5/2/2024,Distributor,MIS,"4,611.00"
Europe,5/3/2024,Distributor,ERP,"6,797.00"
Europe,5/4/2024,Distributor,OTHERS,"6,083.00"
Europe,5/5/2024,Distributor,Support,"3,741.00"
Asia,5/6/2024,Distributor,ERP,"8,526.00"
Asia,5/7/2024,Distributor,OTHERS,"2,349.00"
North America,5/8/2024,Distributor,MIS,"5,432.00"
North America,5/9/2024,Distributor,Support,"8,376.00"
North America,5/10/2024,Distributor,Certification,"2,394.00"
North America,5/11/2024,Web,Support,"4,524.00"
North America,5/12/2024,Direct,ERP,"7,882.00"
North America,5/13/2024,Direct,OTHERS,"8,083.00"
North America,5/14/2024,Direct,OS,"7,122.00"
North America,5/15/2024,Direct,Cloud Service,"4,228.00"
Europe,5/16/2024,Direct,Certification,"6,657.00"
Europe,5/17/2024,Direct,MIS,"5,855.00"
Europe,5/18/2024,Direct,ERP,"2,757.00"
Asia,5/19/2024,Distributor,OS,"4,158.00"
North America,5/20/2024,Distributor,Cloud Service,"9,404.00"
North America,5/21/2024,Distributor,Cloud Service,"4,347.00"
Europe,5/22/2024,Distributor,OTHERS,"3,565.00"
Europe,5/23/2024,Distributor,OS,"2,846.00"
Europe,5/24/2024,Distributor,Cloud Service,"2,334.00"
Europe,5/25/2024,Distributor,Support,"5,331.00"
North America,5/26/2024,Distributor,Certification,"7,392.00"
North America,5/27/2024,Distributor,MIS,"3,737.00"
North America,5/28/2024,Distributor,ERP,"6,549.00"
North America,5/29/2024,Distributor,OTHERS,"7,458.00"
Africa,5/30/2024,Distributor,Cloud Service,"6,589.00"
Africa,5/31/2024,Distributor,Certification,"1,859.00"
Africa,6/1/2024,Distributor,OS,"8,533.00"
Asia,6/2/2024,Distributor,ERP,"3,793.00"
Asia,6/3/2024,Distributor,Support,"8,287.00"
Europe,6/4/2024,Distributor,Certification,"5,254.00"
Asia,6/5/2024,Direct,Cloud Service,"9,547.00"
Asia,6/6/2024,Direct,Support,"9,887.00"
North America,6/7/2024,Distributor,OTHERS,"8,870.00"
Africa,6/8/2024,Cloud,MIS,"5,606.00"
Africa,6/9/2024,Cloud,ERP,"8,287.00"
Africa,6/10/2024,Cloud,OTHERS,"2,766.00"
Africa,6/11/2024,Cloud,OS,"2,079.00"
Africa,6/12/2024,Cloud,Cloud Service,"7,727.00"
Africa,6/13/2024,Cloud,Support,"9,924.00"
Africa,6/14/2024,Cloud,Certification,"5,137.00"
Africa,6/15/2024,Cloud,MIS,"3,298.00"
Africa,6/16/2024,Cloud,ERP,"4,374.00"
North America,6/17/2024,Cloud,MIS,"8,394.00"
North America,6/18/2024,Cloud,ERP,"3,225.00"
North America,6/19/2024,Cloud,OTHERS,"5,224.00"
North America,6/20/2024,Cloud,OS,"5,630.00"
North America,6/21/2024,Cloud,Cloud Service,"1,612.00"
North America,6/22/2024,Cloud,Support,"2,186.00"
North America,6/23/2024,Cloud,Certification,"3,304.00"
North America,6/24/2024,Cloud,MIS,"9,500.00"
North America,6/25/2024,Cloud,ERP,"3,090.00"
North America,6/26/2024,Distributor,OTHERS,"4,698.00"
Asia,6/27/2024,Distributor,OTHERS,"5,034.00"
Asia,6/28/2024,Distributor,OS,"5,669.00"
Asia,6/29/2024,Distributor,Cloud Service,"5,281.00"
North America,6/30/2024,Distributor,ERP,"8,419.00"
North America,7/1/2024,Distributor,OTHERS,"3,445.00"
Asia,7/2/2024,Distributor,Support,"8,368.00"
North America,7/3/2024,Distributor,Cloud Service,"1,894.00"
North America,7/4/2024,Distributor,ERP,"5,232.00"
North America,7/5/2024,Distributor,ERP,"8,913.00"
North America,7/6/2024,Distributor,OTHERS,"5,114.00"
North America,7/7/2024,Distributor,OS,"2,299.00"
Asia,7/8/2024,Distributor,Cloud Service,"5,847.00"
North America,7/9/2024,Distributor,OS,"7,676.00"
Asia,7/10/2024,Distributor,OS,"8,701.00"
Asia,7/11/2024,Distributor,Support,"2,100.00"
Asia,7/12/2024,Distributor,Certification,"1,122.00"
Asia,7/13/2024,Distributor,MIS,"5,348.00"
North America,7/14/2024,Distributor,Certification,"3,171.00"
Europe,7/15/2024,Distributor,Certification,"1,952.00"
Europe,7/16/2024,Distributor,MIS,"1,651.00"
Europe,7/17/2024,Distributor,ERP,"3,016.00"
Africa,7/18/2024,Cloud,MIS,"1,686.00"
Africa,7/19/2024,Cloud,ERP,"4,675.00"
Africa,7/20/2024,Cloud,OTHERS,"5,580.00"
Africa,7/21/2024,Cloud,OS,"3,478.00"
Africa,7/22/2024,Cloud,Cloud Service,"2,104.00"
Africa,7/23/2024,Cloud,Support,"8,781.00"
Africa,7/24/2024,Cloud,Certification,"2,307.00"
Africa,7/25/2024,Cloud,MIS,"1,536.00"
Africa,7/26/2024,Cloud,ERP,"8,846.00"
Africa,7/27/2024,Cloud,MIS,"3,583.00"
Africa,7/28/2024,Cloud,OS,"8,720.00"
Africa,7/29/2024,Cloud,Cloud Service,"5,299.00"
Europe,7/30/2024,Cloud,OTHERS,"2,095.00"
Europe,7/31/2024,Cloud,MIS,"1,188.00"
Europe,8/1/2024,Cloud,ERP,"5,870.00"
Asia,8/2/2024,Cloud,OTHERS,"5,862.00"
North America,8/3/2024,Cloud,OS,"1,684.00"
Asia,8/4/2024,Cloud,Support,"6,765.00"
Africa,8/5/2024,Direct,Support,"1,564.00"
Africa,8/6/2024,Direct,Certification,"9,830.00"
Africa,8/7/2024,Distributor,MIS,"5,047.00"
Africa,8/8/2024,Distributor,ERP,"7,682.00"
North America,8/9/2024,Direct,OS,"1,159.00"
North America,8/10/2024,Distributor,OS,"7,643.00"
North America,8/11/2024,Distributor,Cloud Service,"7,518.00"
Europe,8/12/2024,Cloud,OS,"5,294.00"
South America,8/13/2024,Direct,MIS,"8,944.00"
Europe,8/14/2024,OEM,OTHERS,"6,802.00"
North America,8/15/2024,Distributor,MIS,"8,819.00"
North America,8/16/2024,Distributor,ERP,"9,376.00"
Asia,8/17/2024,Direct,OTHERS,"9,924.00"
Asia,8/18/2024,Direct,OS,"4,668.00"
Asia,8/19/2024,Direct,Cloud Service,"6,047.00"
Africa,8/20/2024,Distributor,ERP,"7,461.00"
North America,8/21/2024,Distributor,Cloud Service,"6,468.00"
Europe,8/22/2024,Distributor,OTHERS,"9,691.00"
Europe,8/23/2024,Distributor,OS,"2,604.00"
Europe,8/24/2024,Distributor,MIS,"2,653.00"
North America,8/25/2024,Distributor,Certification,"3,225.00"
North America,8/26/2024,Distributor,MIS,"6,578.00"
Africa,8/27/2024,Distributor,MIS,"6,535.00"
Africa,8/28/2024,Distributor,ERP,"4,777.00"
Africa,8/29/2024,Distributor,OTHERS,"3,982.00"
Africa,8/30/2024,Distributor,OS,"9,150.00"
Africa,8/31/2024,Distributor,Cloud Service,"3,436.00"
Africa,9/1/2024,Distributor,Support,"9,091.00"
North America,9/2/2024,Distributor,Certification,"2,619.00"
North America,9/3/2024,Distributor,MIS,"1,352.00"
North America,9/4/2024,Distributor,ERP,"4,687.00"
North America,9/5/2024,Distributor,Cloud Service,"9,178.00"
North America,9/6/2024,Distributor,OS,"4,151.00"
North America,9/7/2024,Distributor,Cloud Service,"9,173.00"
North America,9/8/2024,Distributor,MIS,"5,021.00"
North America,9/9/2024,Distributor,ERP,"2,044.00"
North America,9/10/2024,Distributor,OS,"3,884.00"
North America,9/11/2024,Distributor,MIS,"1,033.00"
North America,9/12/2024,Distributor,Certification,"6,573.00"
North America,9/13/2024,Distributor,ERP,"5,892.00"
North America,9/14/2024,Distributor,Certification,"6,104.00"
North America,9/15/2024,Distributor,ERP,"4,540.00"
North America,9/16/2024,Distributor,MIS,"9,407.00"
North America,9/17/2024,Distributor,MIS,"9,513.00"
North America,9/18/2024,Distributor,ERP,"2,357.00"
North America,9/19/2024,Distributor,OTHERS,"8,359.00"
North America,9/20/2024,Distributor,OS,"3,201.00"
North America,9/21/2024,Distributor,Cloud Service,"1,771.00"
North America,9/22/2024,Distributor,Certification,"1,276.00"
North America,9/23/2024,Distributor,MIS,"3,377.00"
North America,9/24/2024,Distributor,OTHERS,"8,173.00"
North America,9/25/2024,Distributor,Support,"7,169.00"
North America,9/26/2024,Direct,Certification,"5,149.00"
North America,9/27/2024,Distributor,OTHERS,"9,252.00"
North America,9/28/2024,Distributor,MIS,"6,585.00"
Asia,9/29/2024,Distributor,ERP,"9,056.00"
North America,9/30/2024,Distributor,MIS,"9,881.00"
North America,10/1/2024,Distributor,ERP,"2,880.00"
Asia,10/2/2024,Distributor,MIS,"7,141.00"
Asia,10/3/2024,Distributor,ERP,"9,676.00"
North America,10/4/2024,Distributor,Cloud Service,"7,779.00"
North America,10/5/2024,Distributor,Support,"8,367.00"
North America,10/6/2024,Distributor,MIS,"8,394.00"
North America,10/7/2024,Distributor,ERP,"4,835.00"
North America,10/8/2024,Distributor,ERP,"1,652.00"
North America,10/9/2024,Distributor,OTHERS,"8,534.00"
North America,10/10/2024,Distributor,OTHERS,"1,813.00"
North America,10/11/2024,Distributor,OS,"5,676.00"
Europe,10/12/2024,Distributor,OTHERS,"5,008.00"
Asia,10/13/2024,Distributor,Support,"1,121.00"
Asia,10/14/2024,Distributor,Certification,"3,552.00"
Asia,10/15/2024,Distributor,MIS,"7,720.00"
Asia,10/16/2024,Distributor,ERP,"5,785.00"
Asia,10/17/2024,Distributor,OTHERS,"9,384.00"
North America,10/18/2024,Distributor,Certification,"2,024.00"
North America,10/19/2024,Distributor,Certification,"5,075.00"
North America,10/20/2024,Distributor,MIS,"8,918.00"
South America,10/21/2024,Direct,OTHERS,"2,912.00"
Africa,10/22/2024,Distributor,Certification,"7,368.00"
North America,10/23/2024,Distributor,Cloud Service,"1,463.00"
North America,10/24/2024,Distributor,Support,"6,218.00"
Africa,10/25/2024,Distributor,OS,"4,179.00"
North America,10/26/2024,Distributor,MIS,"8,510.00"
North America,10/27/2024,Distributor,ERP,"1,509.00"
North America,10/28/2024,Distributor,Support,"4,507.00"
North America,10/29/2024,Distributor,OTHERS,"6,450.00"
North America,10/30/2024,Distributor,OS,"6,046.00"
North America,10/31/2024,Distributor,Cloud Service,"4,552.00"
Africa,11/1/2024,Distributor,OS,"3,677.00"
Asia,11/2/2024,Distributor,ERP,"4,453.00"
Asia,11/3/2024,Distributor,OTHERS,"8,391.00"
Asia,11/4/2024,Distributor,OS,"6,113.00"
Asia,11/5/2024,Distributor,Cloud Service,"9,350.00"
Asia,11/6/2024,Distributor,Support,"1,415.00"
North America,11/7/2024,Direct,MIS,"7,686.00"
North America,11/8/2024,Distributor,Support,"1,998.00"
North America,11/9/2024,Direct,Cloud Service,"7,145.00"
North America,11/10/2024,Distributor,OS,"5,862.00"
North America,11/11/2024,Distributor,ERP,"4,769.00"
North America,11/12/2024,Distributor,OTHERS,"4,974.00"
North America,11/13/2024,Distributor,OS,"1,096.00"
Africa,11/14/2024,Distributor,OTHERS,"3,873.00"
Africa,11/15/2024,Distributor,Cloud Service,"3,103.00"
Africa,11/16/2024,Distributor,Certification,"6,862.00"
Africa,11/17/2024,Distributor,MIS,"7,656.00"
Africa,11/18/2024,Distributor,ERP,"2,340.00"
Africa,11/19/2024,Distributor,OTHERS,"7,930.00"
Africa,11/20/2024,Distributor,OS,"9,904.00"
Africa,11/21/2024,Distributor,Cloud Service,"9,852.00"
Asia,11/22/2024,Distributor,Cloud Service,"9,123.00"
Asia,11/23/2024,Distributor,Certification,"8,087.00"
Asia,11/24/2024,Distributor,MIS,"8,239.00"
Asia,11/25/2024,Distributor,ERP,"7,578.00"
Asia,11/26/2024,Distributor,OTHERS,"2,895.00"
Asia,11/27/2024,Distributor,OS,"7,856.00"
Asia,11/28/2024,Distributor,Cloud Service,"5,395.00"
Asia,11/29/2024,Distributor,OTHERS,"8,723.00"
North America,11/30/2024,Distributor,Support,"8,948.00"
North America,12/1/2024,Distributor,Certification,"9,922.00"
Africa,12/2/2024,Distributor,MIS,"5,729.00"
Africa,12/3/2024,Distributor,ERP,"9,805.00"
Africa,12/4/2024,Distributor,OTHERS,"4,102.00"
Asia,12/5/2024,Direct,Support,"4,040.00"
Asia,12/6/2024,Distributor,Certification,"1,911.00"
North America,12/7/2024,Distributor,ERP,"3,060.00"
North America,12/8/2024,Distributor,OTHERS,"9,450.00"
North America,12/9/2024,Distributor,OS,"3,286.00"
North America,12/10/2024,Distributor,Cloud Service,"8,629.00"
North America,12/11/2024,Distributor,Support,"8,496.00"
North America,12/12/2024,Direct,Certification,"8,628.00"
Africa,12/13/2024,Distributor,Cloud Service,"8,807.00"
Africa,12/14/2024,Distributor,Support,"2,870.00"
Africa,12/15/2024,Distributor,Certification,"1,186.00"
Asia,12/16/2024,Cloud,Cloud Service,"5,888.00"
Asia,12/17/2024,Cloud,Support,"5,872.00"
Asia,12/18/2024,Cloud,Certification,"6,366.00"
Asia,12/19/2024,Cloud,MIS,"7,302.00"
Asia,12/20/2024,Cloud,ERP,"2,329.00"
Asia,12/21/2024,Cloud,OTHERS,"5,623.00"
Asia,12/22/2024,Cloud,OS,"9,954.00"
Asia,12/23/2024,Cloud,Cloud Service,"1,641.00"
Asia,12/24/2024,Cloud,Support,"8,251.00"
Europe,12/25/2024,Distributor,Cloud Service,"9,323.00"
North America,12/26/2024,Distributor,Support,"8,915.00"
North America,12/27/2024,Distributor,Certification,"3,207.00"
North America,12/28/2024,Distributor,MIS,"2,766.00"
North America,12/29/2024,Distributor,ERP,"8,125.00"
North America,12/30/2024,Distributor,MIS,"4,633.00"
Europe,12/31/2024,Distributor,OS,"8,239.00"
North America,1/1/2024,Distributor,Certification,"6,469.00"
Asia,1/2/2024,Cloud,MIS,"3,326.00"
Asia,1/3/2024,Cloud,ERP,"6,205.00"
Asia,1/4/2024,Cloud,OTHERS,"2,421.00"
Africa,1/5/2024,Cloud,OS,"6,173.00"
North America,1/6/2024,Cloud,Cloud Service,"7,817.00"
North America,1/7/2024,Cloud,Support,"8,032.00"
North America,1/8/2024,Cloud,Certification,"5,453.00"
North America,1/9/2024,Cloud,MIS,"9,482.00"
North America,1/10/2024,Distributor,Support,"5,989.00"
Africa,1/11/2024,Cloud,Certification,"3,778.00"
Africa,1/12/2024,Cloud,MIS,"1,973.00"
Africa,1/13/2024,Cloud,ERP,"4,223.00"
Africa,1/14/2024,Cloud,OTHERS,"5,681.00"
Africa,1/15/2024,Cloud,OS,"8,499.00"
Africa,1/16/2024,Cloud,Cloud Service,"8,943.00"
Africa,1/17/2024,Cloud,Support,"6,589.00"
Africa,1/18/2024,Cloud,Certification,"8,799.00"
Africa,1/19/2024,Cloud,MIS,"6,195.00"
North America,1/20/2024,Distributor,ERP,"7,907.00"
Asia,1/21/2024,Distributor,OTHERS,"1,145.00"
Asia,1/22/2024,Distributor,Cloud Service,"1,169.00"
North America,1/23/2024,Distributor,Certification,"7,530.00"
North America,1/24/2024,Distributor,OTHERS,"2,222.00"
Asia,1/25/2024,Distributor,OTHERS,"7,781.00"
North America,1/26/2024,Distributor,Cloud Service,"7,817.00"
North America,1/27/2024,Distributor,OTHERS,"1,939.00"
Europe,1/28/2024,Distributor,Cloud Service,"1,261.00"
Africa,1/29/2024,Cloud,MIS,"9,004.00"
North America,1/30/2024,Cloud,OS,"3,289.00"
North America,1/31/2024,Cloud,Cloud Service,"4,917.00"
Africa,2/1/2024,Cloud,Support,"4,789.00"
North America,2/2/2024,Cloud,Certification,"6,993.00"
Asia,2/3/2024,Cloud,MIS,"6,907.00"
Asia,2/4/2024,Cloud,ERP,"5,837.00"
Asia,2/5/2024,Cloud,OTHERS,"8,222.00"
Asia,2/6/2024,Cloud,OS,"1,216.00"
Asia,2/7/2024,Cloud,Cloud Service,"4,763.00"
Asia,2/8/2024,Cloud,Support,"7,246.00"
Asia,2/9/2024,Cloud,Certification,"6,221.00"
Asia,2/10/2024,Cloud,MIS,"2,463.00"
Asia,2/11/2024,Cloud,ERP,"7,135.00"
Asia,2/12/2024,Cloud,Support,"1,232.00"
North America,2/13/2024,Cloud,Certification,"1,121.00"
North America,2/14/2024,Cloud,MIS,"4,626.00"
Asia,2/15/2024,Cloud,ERP,"6,490.00"
Asia,2/16/2024,Cloud,OTHERS,"2,122.00"
Asia,2/17/2024,Cloud,OS,"7,054.00"
Asia,2/18/2024,Cloud,Cloud Service,"3,656.00"
North America,2/19/2024,Distributor,ERP,"7,651.00"
Europe,2/20/2024,Cloud,Cloud Service,"4,431.00"
Europe,2/21/2024,Cloud,Support,"7,186.00"
North America,2/22/2024,Distributor,Certification,"8,685.00"
Asia,2/23/2024,Distributor,MIS,"1,767.00"
Asia,2/24/2024,Distributor,Support,"4,775.00"
North America,2/25/2024,Distributor,ERP,"4,443.00"
Asia,2/26/2024,Distributor,MIS,"1,417.00"
North America,2/27/2024,Distributor,Certification,"9,691.00"
North America,2/28/2024,Distributor,OTHERS,"8,159.00"
North America,2/29/2024,Distributor,ERP,"3,199.00"
North America,3/1/2024,Distributor,OS,"2,576.00"
Europe,3/2/2024,Direct,MIS,"3,012.00"
Europe,3/3/2024,Direct,ERP,"6,875.00"
Europe,3/4/2024,Direct,OTHERS,"5,926.00"
Europe,3/5/2024,Direct,OS,"6,326.00"
Europe,3/6/2024,Direct,Cloud Service,"8,504.00"
Asia,3/7/2024,Cloud,Support,"4,049.00"
Asia,3/8/2024,Cloud,Certification,"4,485.00"
Asia,3/9/2024,Cloud,MIS,"3,339.00"
Asia,3/10/2024,Cloud,ERP,"6,940.00"
North America,3/11/2024,Cloud,OTHERS,"1,745.00"
North America,3/12/2024,Cloud,OS,"3,794.00"
North America,3/13/2024,Cloud,Cloud Service,"1,415.00"
North America,3/14/2024,Cloud,Support,"5,339.00"
North America,3/15/2024,Cloud,Certification,"7,404.00"
North America,3/16/2024,Cloud,MIS,"2,874.00"
Africa,3/17/2024,Cloud,ERP,"3,302.00"
Africa,3/18/2024,Cloud,OTHERS,"3,434.00"
Africa,3/19/2024,Cloud,OS,"1,306.00"
Africa,3/20/2024,Cloud,Certification,"6,879.00"
Africa,3/21/2024,Cloud,MIS,"8,723.00"
North America,3/22/2024,Direct,Cloud Service,"1,819.00"
North America,3/23/2024,Distributor,OS,"9,733.00"
Asia,3/24/2024,Distributor,Cloud Service,"4,562.00"
Australia,3/25/2024,Distributor,Support,"1,409.00"
North America,3/26/2024,Distributor,Cloud Service,"9,572.00"
North America,3/27/2024,Distributor,MIS,"7,398.00"
North America,3/28/2024,Distributor,Certification,"3,776.00"
North America,3/29/2024,Distributor,Certification,"3,337.00"
Europe,3/30/2024,Distributor,ERP,"4,299.00"
North America,3/31/2024,Distributor,OTHERS,"2,834.00"
North America,4/1/2024,Distributor,Cloud Service,"7,024.00"
North America,4/2/2024,Distributor,ERP,"6,238.00"
Europe,4/3/2024,Distributor,Certification,"4,533.00"
North America,4/4/2024,Cloud,Certification,"1,362.00"
North America,4/5/2024,Cloud,MIS,"3,796.00"
North America,4/6/2024,Cloud,ERP,"4,909.00"
Europe,4/7/2024,Cloud,Certification,"5,065.00"
Europe,4/8/2024,Cloud,MIS,"4,409.00"
Europe,4/9/2024,Cloud,ERP,"8,386.00"
Europe,4/10/2024,Cloud,OTHERS,"8,792.00"
Europe,4/11/2024,Distributor,Support,"3,365.00"
Europe,4/12/2024,Distributor,Certification,"9,009.00"
Europe,4/13/2024,Distributor,MIS,"7,179.00"
Europe,4/14/2024,Distributor,ERP,"3,798.00"
Europe,4/15/2024,Distributor,OTHERS,"8,472.00"
Europe,4/16/2024,Distributor,OS,"8,468.00"
Europe,4/17/2024,Distributor,Cloud Service,"9,926.00"
Europe,4/18/2024,Distributor,Support,"6,366.00"
Europe,4/19/2024,Distributor,Certification,"5,824.00"
Europe,4/20/2024,Distributor,MIS,"3,338.00"
Europe,4/21/2024,Distributor,ERP,"1,354.00"
Europe,4/22/2024,Distributor,OTHERS,"2,306.00"
Europe,4/23/2024,Distributor,OS,"1,355.00"
Europe,4/24/2024,Distributor,Cloud Service,"2,035.00"
Europe,4/25/2024,Distributor,Support,"1,599.00"
Europe,4/26/2024,Distributor,Certification,"8,070.00"
Europe,4/27/2024,Distributor,MIS,"8,764.00"
Europe,4/28/2024,Distributor,ERP,"3,667.00"
North America,4/29/2024,Distributor,Cloud Service,"1,280.00"
North America,4/30/2024,Distributor,Support,"3,690.00"
Africa,5/1/2024,Distributor,OS,"3,331.00"
North America,5/2/2024,Distributor,ERP,"2,907.00"
Europe,5/3/2024,Cloud,Support,"3,774.00"
Europe,5/4/2024,Cloud,Certification,"8,813.00"
Europe,5/5/2024,Direct,MIS,"2,798.00"
Europe,5/6/2024,Direct,ERP,"3,016.00"
Africa,5/7/2024,Distributor,Certification,"1,159.00"
Asia,5/8/2024,Distributor,ERP,"8,885.00"
North America,5/9/2024,Distributor,Certification,"1,816.00"
North America,5/10/2024,Distributor,OS,"3,459.00"
Asia,5/11/2024,Distributor,Cloud Service,"6,548.00"
North America,5/12/2024,Distributor,Certification,"1,816.00"
